店舗名,住所
快活クラブ  函館昭和店,北海道函館市昭和3-31-12
快活クラブ  札幌狸小路2号店,北海道札幌市中央区南二条西2-2金市館札幌ビル5F※すすきの駅より徒歩6分※狸小路駅より徒歩4分
快活クラブ  札幌清田店,北海道札幌市清田区清田2条1-3-5
快活クラブ  北見店,北海道北見市西富町2-10
快活クラブ  旭川大町店,北海道旭川市大町１条3-14-13
快活クラブ  すすきの店,北海道札幌市中央区南4条西3-3第一グリーンビル 9F※すすきの駅5番出口より徒歩1分
快活クラブ  札幌西岡店,北海道札幌市豊平区西岡3条4-2-10
快活クラブ  札幌環状通東店,北海道札幌市東区本町2条2-3-15
快活クラブ  厚別東店,北海道札幌市厚別区厚別東4条7-2-1※ナビで検索されない場合⇒北海道札幌市厚別区厚別東4条7-2-10
快活クラブ  札幌狸小路店,北海道札幌市中央区南2条西4-1  札幌ナナイロ6F(旧コスモビル)※すすきの駅より徒歩5分、狸小路駅より徒歩3分
快活クラブ  札幌大谷地店,北海道札幌市厚別区大谷地東2-1-7※AOKI 札幌大谷地店の上 受付2F
快活クラブ  札幌駅南口店,北海道札幌市中央区北4条西2-1-2キタコートレードビル 4F※札幌駅南口19番出口より徒歩1分※ナビで検索されない場合⇒北海道札幌市中央区北4条西2-1
快活クラブ  釧路木場店,北海道釧路郡釧路町木場1-3-1※ナビで検索されない場合⇒北海道釧路郡釧路町桂木1-1-7 イオン釧路店
快活クラブ  北42条店,北海道札幌市東区北42条東7-1-1※ドン・キホーテ 北42条店さん 2F
快活クラブ  旭川永山店,北海道旭川市永山7条4-4-14※ナビで検索されない場合⇒北海道旭川市永山8条4-5-7
快活クラブ  八戸沼館店,青森県八戸市沼館4-1-39
快活クラブ  青森観光通り店,青森県青森市浦町奥野624
快活クラブ  弘前店,青森県弘前市和泉2-7-7
快活クラブ  青森西バイパス店,青森県青森市石江三好120-1
快活クラブ  盛岡大通店,岩手県盛岡市大通2-6-8セントラルガーデンスクエア1～3F
快活クラブ  水沢店,岩手県奥州市水沢佐倉河五反町57
快活クラブ  盛岡バイパス店,岩手県盛岡市東仙北2-10-30 2F※ナビで検索されない場合⇒岩手県盛岡市東仙北1-12-18
快活クラブ  盛岡上堂店,岩手県盛岡市上堂1-19-67※AOKI 盛岡上堂店となり
快活クラブ  花巻店,岩手県花巻市下似内第17地割91※ナビで検索されない場合⇒岩手県花巻市下似内第17地割105-1
快活クラブ  北上店,岩手県北上市有田町1-45※ナビで検索されない場合⇒岩手県北上市柳原町2-1-47
快活クラブ  仙台中央通店,宮城県仙台市青葉区中央2-6-4雫石ビル2・3F（受付2F）
快活クラブ  大河原店,宮城県柴田郡大河原町新南59-1
快活クラブ  石巻中里店,宮城県石巻市南中里2-9-54
快活クラブ  4号名取店,宮城県名取市植松田野部49-1※ナビで検索されない場合⇒宮城県名取市植松田野部86
快活クラブ  4号仙台泉店,宮城県仙台市泉区天神沢1-1-5※ナビで検索されない場合⇒宮城県仙台市泉区天神沢1-1-22
快活クラブ  古川店,宮城県大崎市古川駅東2-5-15※古川駅東口より徒歩8分※ナビで検索されない場合⇒宮城県大崎市古川駅東2-5-13
快活クラブ  東仙台店,宮城県仙台市宮城野区小鶴3-8-10※ナビで検索されない場合⇒宮城県仙台市宮城野区燕沢1-28-21
快活クラブ  多賀城店,宮城県多賀城市八幡1-2-34※アクロスプラザ内ブックスなにわさん　2F
快活クラブ  仙台南小泉店,宮城県仙台市若林区南小泉2-11-2※ナビで検索されない場合⇒宮城県仙台市若林区南小泉2-11-13
快活クラブ  仙台一番町店,宮城県仙台市青葉区一番町4-5-13ボウルサンシャインビル 2F※広瀬通駅西出口より徒歩5分※勾当台公園駅南出口より徒歩5分※ナビで検索されない場合⇒宮城県仙台市青葉区一番町4-4-33
快活クラブ  大館店,秋田県大館市清水1-3-13
快活クラブ  横手店,秋田県横手市駅西1丁目3-30※横手駅西口より徒歩4分
快活クラブ  秋田新国道店,秋田県秋田市八橋新川向12-28
快活クラブ  秋田牛島店,秋田県秋田市牛島西1-1-18※ナビで検索されない場合⇒秋田県秋田市牛島西1-1-22
快活クラブ  山形高堂店,山形県山形市高堂2-3-11
快活クラブ  鶴岡店,山形県鶴岡市宝田2-1-55※ナビで検索されない場合⇒山形県鶴岡市道形町12-11
快活クラブ  米沢店,山形県米沢市金池8-1-7※ナビで検索されない場合⇒山形県米沢市金池8-1-12
快活クラブ  天童店,山形県天童市南町1-6-25※ナビで検索されない場合⇒山形県天童市南町1-4-16
快活クラブ  いわき鹿島店,福島県いわき市鹿島町走熊小神山66-2
快活クラブ  福島北店,福島県福島市本内北町裏6※ナビで検索されない場合⇒福島県福島市本内北町裏7-3
快活クラブ  郡山安積店,福島県郡山市安積2-280※ヨークベニマル 安積町店 向かい※ナビで検索されない場合⇒福島県郡山市安積2-105
